LeafID	 Vcmax25	 Jmax25	 Rd25	 Theta	 BallBerryIntercept	BallBerrySlop	 CO2	 O2	 WaterStessFunction	 WaterStessFactor 	Year	 DayOfYear	 Hour	 PAR	 NIR	 LW	 Temperature	 RH	 Wind	 Precipitation 
1	100	200	0.67	1.5	0.008	10.6	100	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	150	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	200	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	250	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	300	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	350	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	400	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	450	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	500	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	550	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	600	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	650	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	700	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	750	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	800	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	850	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	900	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	950	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1000	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1050	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1100	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1150	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1200	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1250	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1300	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1350	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1400	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1450	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
1	100	200	0.67	1.5	0.008	10.6	1500	210	0	1	2008	208	1	470	0	0	25	0.7	5	0
